strain	PC2
AB1	0.71633517838125
CB4852	0.90659248251787
CB4854	-0.238633664504759
CB4856	0.79853663674802
CB4857	-1.97334335667563
CB4858	0.64041099100063
CB4932	0.249578250144603
CX11262	-1.53965425128116
CX11264	0.914918444057533
CX11271	-0.668173587307933
CX11276	1.2546643226416
CX11285	0.867974169654999
CX11292	-0.0441590832607224
CX11307	2.45164996743548
CX11314	0.327658223137924
CX11315	-0.0329198120423945
DL200	-0.113070150839586
DL226	0.264211899506741
DL238	-0.0429470647805885
ED3005	-2.46463578281758
ED3011	-1.40217701505825
ED3012	NA
ED3040	-0.481531320479162
ED3046	-0.78536938943956
ED3048	0.251794202301948
ED3049	-0.938919007565273
ED3052	0.0715885157954347
ED3073	-0.178598523581194
ED3077	1.35389634207445
EG4347	1.55705974132309
EG4349	1.15892341690462
EG4724	-0.0404563382000853
EG4725	-0.978332062267329
EG4946	0.414626751574859
JT11398	1.13857629700566
JU1172	0.747568273081055
JU1200	-0.250638882517202
JU1212	-0.691314853624533
JU1213	0.435650868055403
JU1242	0.69172079604006
JU1246	1.22667617914964
JU1395	0.491881660453487
JU1409	-0.0756853486951254
JU1440	-0.512812319096426
JU1491	1.53944795542598
JU1530	0.79866920386104
JU1568	0.780587734237772
JU1580	-0.469236220741583
JU1581	-0.930818442841811
JU1586	-0.366240574781559
JU1652	0.344353376934573
JU1896	-0.375356272700975
JU258	-0.968691301573851
JU310	1.08182153016324
JU311	0.11164601875046
JU323	1.09683064966702
JU346	-0.173996199033871
JU360	-0.853826248045588
JU367	0.529165334675436
JU393	-0.399905758958255
JU394	-0.105021070122543
JU406	0.135268800483816
JU440	0.498597866386786
JU561	0.346874347028157
JU642	0.156218399553087
JU751	-0.264646299840004
JU774	-0.131679252330594
JU778	-1.01633753862001
JU782	-0.558144784114293
JU792	0.0543575397893498
JU830	-1.33913440235294
JU847	0.101041782360026
KR314	0.0393852033226394
LKC34	-0.452052613167447
LSJ1	-0.544048073840494
MY1	0.854129029762986
MY10	1.02250214891686
MY16	-0.623195410655888
MY18	-0.875863369509056
MY23	-1.1775648138792
N2	-0.682297714420501
PB303	0.0823293994429929
PB306	-0.0575228867165698
PX179	-0.0393409074017748
RC301	-0.57406837839088
WN2002	-2.07335958167441
