strain	PC3
AB1	-0.188933781561857
CB4852	0.128841977286748
CB4854	0.00697676243050088
CB4856	-0.58901067632685
CB4857	0.426242762749366
CB4858	-0.481305719156389
CB4932	-0.894031147956712
CX11262	-0.248018779799872
CX11264	-0.487919567214219
CX11271	-1.00272389945939
CX11276	-0.53660205326073
CX11285	0.670848824650787
CX11292	-0.273801733413156
CX11307	-0.135190118064483
CX11314	-0.0784895401148031
CX11315	0.850751506184599
DL200	-0.139328390065524
DL226	0.408708232583591
DL238	-0.145128620602453
ED3005	0.0360775054794874
ED3011	-0.602250369772222
ED3012	NA
ED3040	0.472079848792031
ED3046	-0.265177228423692
ED3048	0.469928990163364
ED3049	-0.537020731750775
ED3052	0.0618854343696566
ED3073	0.135085368816156
ED3077	0.374080657850071
EG4347	-0.0163532256730103
EG4349	0.0300305142770557
EG4724	-0.131580538735721
EG4725	0.110463108442063
EG4946	0.586762195393125
JT11398	0.224418578569092
JU1172	0.594715208810731
JU1200	-0.129137462059657
JU1212	-0.414499612686144
JU1213	0.922560989292439
JU1242	-0.126649971586015
JU1246	0.41739744815502
JU1395	-0.09924460458874
JU1409	-0.0597582073925756
JU1440	-0.299397956751065
JU1491	-0.330114685595676
JU1530	0.268584902867973
JU1568	0.338201589999877
JU1580	0.417670870319174
JU1581	-0.377269011940704
JU1586	-0.645697413703321
JU1652	0.531138521152008
JU1896	-0.0928074126916889
JU258	0.313655088588091
JU310	-0.10382512076275
JU311	-0.888293593239151
JU323	-0.133606564292434
JU346	-0.0111849089607719
JU360	-0.12035834123958
JU367	-0.33164369920515
JU393	0.114396001245378
JU394	0.314946808235911
JU406	0.811506842049029
JU440	-0.0922085742781139
JU561	-0.155122080372243
JU642	-0.310573962048749
JU751	-0.327111338829678
JU774	-0.909734558895223
JU778	0.376855038052329
JU782	1.27522626924984
JU792	0.106904435170011
JU830	-0.422024643161192
JU847	-0.204047364587339
KR314	0.282102888936128
LKC34	-0.338149512814694
LSJ1	0.0999035774416836
MY1	0.00657345588839157
MY10	0.562661616781023
MY16	0.413280403037302
MY18	-0.442433251911035
MY23	-0.311581567019838
N2	-0.916122649243457
PB303	0.51111045945678
PB306	-0.214695702806623
PX179	0.0796104124314707
RC301	0.0897452967077137
WN2002	1.71822950210947
