Strain	Condition	u_strain	row	col	control	Trait	Value	conc
N2	C15ISO12	N2_C15ISO12_3_A_1_.12 µmol	A	1	EtOH	mean.norm.EXT	2.12951191498427	.12 µmol
N2	C15ISO12	N2_C15ISO12_3_A_10_.12 µmol	A	10	EtOH	mean.norm.EXT	2.15585440485889	.12 µmol
N2	C15ISO12	N2_C15ISO12_3_A_11_.12 µmol	A	11	EtOH	mean.norm.EXT	1.99849402651869	.12 µmol
N2	C15ISO12	N2_C15ISO12_3_A_2_.12 µmol	A	2	EtOH	mean.norm.EXT	2.12243830710206	.12 µmol
N2	C15ISO12	N2_C15ISO12_3_A_3_.12 µmol	A	3	EtOH	mean.norm.EXT	2.12047012105842	.12 µmol
N2	C15ISO12	N2_C15ISO12_3_A_4_.12 µmol	A	4	EtOH	mean.norm.EXT	2.02893282513635	.12 µmol
N2	C15ISO12	N2_C15ISO12_3_A_5_.12 µmol	A	5	EtOH	mean.norm.EXT	2.19347828626431	.12 µmol
N2	C15ISO12	N2_C15ISO12_3_A_6_.12 µmol	A	6	EtOH	mean.norm.EXT	2.05384683247164	.12 µmol
N2	C15ISO12	N2_C15ISO12_3_A_7_.12 µmol	A	7	EtOH	mean.norm.EXT	2.12481923770206	.12 µmol
N2	C15ISO12	N2_C15ISO12_3_A_8_.12 µmol	A	8	EtOH	mean.norm.EXT	2.0911241238386	.12 µmol
N2	C15ISO12	N2_C15ISO12_3_A_9_.12 µmol	A	9	EtOH	mean.norm.EXT	2.09219379810056	.12 µmol
N2	C15ISO12	N2_C15ISO12_3_B_1_.12 µmol	B	1	EtOH	mean.norm.EXT	2.06407908740958	.12 µmol
N2	C15ISO12	N2_C15ISO12_3_B_10_.12 µmol	B	10	EtOH	mean.norm.EXT	1.99562904677637	.12 µmol
N2	C15ISO12	N2_C15ISO12_3_B_11_.12 µmol	B	11	EtOH	mean.norm.EXT	2.23678250517234	.12 µmol
N2	C15ISO12	N2_C15ISO12_3_B_2_.12 µmol	B	2	EtOH	mean.norm.EXT	2.14200043799485	.12 µmol
N2	C15ISO12	N2_C15ISO12_3_B_3_.12 µmol	B	3	EtOH	mean.norm.EXT	2.10801719046841	.12 µmol
N2	C15ISO12	N2_C15ISO12_3_B_4_.12 µmol	B	4	EtOH	mean.norm.EXT	1.98717193960663	.12 µmol
N2	C15ISO12	N2_C15ISO12_3_B_5_.12 µmol	B	5	EtOH	mean.norm.EXT	2.13151250016423	.12 µmol
N2	C15ISO12	N2_C15ISO12_3_B_6_.12 µmol	B	6	EtOH	mean.norm.EXT	2.10761977188753	.12 µmol
N2	C15ISO12	N2_C15ISO12_3_B_7_.12 µmol	B	7	EtOH	mean.norm.EXT	1.97269330826942	.12 µmol
N2	C15ISO12	N2_C15ISO12_3_B_8_.12 µmol	B	8	EtOH	mean.norm.EXT	2.06483434943241	.12 µmol
N2	C15ISO12	N2_C15ISO12_3_B_9_.12 µmol	B	9	EtOH	mean.norm.EXT	2.08675106942191	.12 µmol
CB4856	C15ISO12	CB4856_C15ISO12_3_C_1_.12 µmol	C	1	EtOH	mean.norm.EXT	2.0312680015239	.12 µmol
CB4856	C15ISO12	CB4856_C15ISO12_3_C_10_.12 µmol	C	10	EtOH	mean.norm.EXT	2.17828209225005	.12 µmol
CB4856	C15ISO12	CB4856_C15ISO12_3_C_11_.12 µmol	C	11	EtOH	mean.norm.EXT	2.07636907415185	.12 µmol
CB4856	C15ISO12	CB4856_C15ISO12_3_C_2_.12 µmol	C	2	EtOH	mean.norm.EXT	2.10941719338816	.12 µmol
CB4856	C15ISO12	CB4856_C15ISO12_3_C_3_.12 µmol	C	3	EtOH	mean.norm.EXT	1.98373795182717	.12 µmol
CB4856	C15ISO12	CB4856_C15ISO12_3_C_4_.12 µmol	C	4	EtOH	mean.norm.EXT	2.06602344340724	.12 µmol
CB4856	C15ISO12	CB4856_C15ISO12_3_C_5_.12 µmol	C	5	EtOH	mean.norm.EXT	2.18973272764467	.12 µmol
CB4856	C15ISO12	CB4856_C15ISO12_3_C_6_.12 µmol	C	6	EtOH	mean.norm.EXT	2.04548077850304	.12 µmol
CB4856	C15ISO12	CB4856_C15ISO12_3_C_7_.12 µmol	C	7	EtOH	mean.norm.EXT	2.11199404513391	.12 µmol
CB4856	C15ISO12	CB4856_C15ISO12_3_C_8_.12 µmol	C	8	EtOH	mean.norm.EXT	2.09971944137348	.12 µmol
CB4856	C15ISO12	CB4856_C15ISO12_3_C_9_.12 µmol	C	9	EtOH	mean.norm.EXT	2.19993782365897	.12 µmol
CB4856	C15ISO12	CB4856_C15ISO12_3_D_1_.12 µmol	D	1	EtOH	mean.norm.EXT	2.21097321223505	.12 µmol
CB4856	C15ISO12	CB4856_C15ISO12_3_D_10_.12 µmol	D	10	EtOH	mean.norm.EXT	2.29602879532451	.12 µmol
CB4856	C15ISO12	CB4856_C15ISO12_3_D_11_.12 µmol	D	11	EtOH	mean.norm.EXT	2.00987292036739	.12 µmol
CB4856	C15ISO12	CB4856_C15ISO12_3_D_2_.12 µmol	D	2	EtOH	mean.norm.EXT	2.2191315947425	.12 µmol
CB4856	C15ISO12	CB4856_C15ISO12_3_D_3_.12 µmol	D	3	EtOH	mean.norm.EXT	2.03676199524389	.12 µmol
CB4856	C15ISO12	CB4856_C15ISO12_3_D_4_.12 µmol	D	4	EtOH	mean.norm.EXT	2.06387469999789	.12 µmol
CB4856	C15ISO12	CB4856_C15ISO12_3_D_5_.12 µmol	D	5	EtOH	mean.norm.EXT	2.01825384497106	.12 µmol
CB4856	C15ISO12	CB4856_C15ISO12_3_D_6_.12 µmol	D	6	EtOH	mean.norm.EXT	2.19755896741031	.12 µmol
CB4856	C15ISO12	CB4856_C15ISO12_3_D_7_.12 µmol	D	7	EtOH	mean.norm.EXT	2.05975027942717	.12 µmol
CB4856	C15ISO12	CB4856_C15ISO12_3_D_8_.12 µmol	D	8	EtOH	mean.norm.EXT	2.08248777259854	.12 µmol
CB4856	C15ISO12	CB4856_C15ISO12_3_D_9_.12 µmol	D	9	EtOH	mean.norm.EXT	2.10787584807762	.12 µmol
ECA581	C15ISO12	ECA581_C15ISO12_3_E_1_.12 µmol	E	1	EtOH	mean.norm.EXT	2.0104398440414	.12 µmol
ECA581	C15ISO12	ECA581_C15ISO12_3_E_10_.12 µmol	E	10	EtOH	mean.norm.EXT	2.02190005797526	.12 µmol
ECA581	C15ISO12	ECA581_C15ISO12_3_E_11_.12 µmol	E	11	EtOH	mean.norm.EXT	2.01412815532781	.12 µmol
ECA581	C15ISO12	ECA581_C15ISO12_3_E_2_.12 µmol	E	2	EtOH	mean.norm.EXT	2.13114359770856	.12 µmol
ECA581	C15ISO12	ECA581_C15ISO12_3_E_3_.12 µmol	E	3	EtOH	mean.norm.EXT	2.07611313455079	.12 µmol
ECA581	C15ISO12	ECA581_C15ISO12_3_E_4_.12 µmol	E	4	EtOH	mean.norm.EXT	1.94468524548638	.12 µmol
ECA581	C15ISO12	ECA581_C15ISO12_3_E_5_.12 µmol	E	5	EtOH	mean.norm.EXT	1.89908138746084	.12 µmol
ECA581	C15ISO12	ECA581_C15ISO12_3_E_6_.12 µmol	E	6	EtOH	mean.norm.EXT	2.02335061157162	.12 µmol
ECA581	C15ISO12	ECA581_C15ISO12_3_E_7_.12 µmol	E	7	EtOH	mean.norm.EXT	2.12029473446843	.12 µmol
ECA581	C15ISO12	ECA581_C15ISO12_3_E_8_.12 µmol	E	8	EtOH	mean.norm.EXT	2.01536926115047	.12 µmol
ECA581	C15ISO12	ECA581_C15ISO12_3_E_9_.12 µmol	E	9	EtOH	mean.norm.EXT	2.06860065026934	.12 µmol
ECA581	C15ISO12	ECA581_C15ISO12_3_F_1_.12 µmol	F	1	EtOH	mean.norm.EXT	2.06481067181703	.12 µmol
ECA581	C15ISO12	ECA581_C15ISO12_3_F_10_.12 µmol	F	10	EtOH	mean.norm.EXT	2.02327927733022	.12 µmol
ECA581	C15ISO12	ECA581_C15ISO12_3_F_11_.12 µmol	F	11	EtOH	mean.norm.EXT	2.08128492039081	.12 µmol
ECA581	C15ISO12	ECA581_C15ISO12_3_F_2_.12 µmol	F	2	EtOH	mean.norm.EXT	2.04095684306372	.12 µmol
ECA581	C15ISO12	ECA581_C15ISO12_3_F_3_.12 µmol	F	3	EtOH	mean.norm.EXT	2.02382654522524	.12 µmol
ECA581	C15ISO12	ECA581_C15ISO12_3_F_4_.12 µmol	F	4	EtOH	mean.norm.EXT	1.8917123673926	.12 µmol
ECA581	C15ISO12	ECA581_C15ISO12_3_F_5_.12 µmol	F	5	EtOH	mean.norm.EXT	2.14013921037128	.12 µmol
ECA581	C15ISO12	ECA581_C15ISO12_3_F_6_.12 µmol	F	6	EtOH	mean.norm.EXT	2.029758285624	.12 µmol
ECA581	C15ISO12	ECA581_C15ISO12_3_F_7_.12 µmol	F	7	EtOH	mean.norm.EXT	2.14078488523126	.12 µmol
ECA581	C15ISO12	ECA581_C15ISO12_3_F_8_.12 µmol	F	8	EtOH	mean.norm.EXT	1.954585938589	.12 µmol
ECA581	C15ISO12	ECA581_C15ISO12_3_F_9_.12 µmol	F	9	EtOH	mean.norm.EXT	2.06659065706774	.12 µmol
ECA590	C15ISO12	ECA590_C15ISO12_3_G_1_.12 µmol	G	1	EtOH	mean.norm.EXT	2.10793150093214	.12 µmol
ECA590	C15ISO12	ECA590_C15ISO12_3_G_10_.12 µmol	G	10	EtOH	mean.norm.EXT	2.2032455334829	.12 µmol
ECA590	C15ISO12	ECA590_C15ISO12_3_G_11_.12 µmol	G	11	EtOH	mean.norm.EXT	1.93700572441845	.12 µmol
ECA590	C15ISO12	ECA590_C15ISO12_3_G_2_.12 µmol	G	2	EtOH	mean.norm.EXT	2.02851655959676	.12 µmol
ECA590	C15ISO12	ECA590_C15ISO12_3_G_3_.12 µmol	G	3	EtOH	mean.norm.EXT	2.03232333920294	.12 µmol
ECA590	C15ISO12	ECA590_C15ISO12_3_G_4_.12 µmol	G	4	EtOH	mean.norm.EXT	2.00586413461085	.12 µmol
ECA590	C15ISO12	ECA590_C15ISO12_3_G_5_.12 µmol	G	5	EtOH	mean.norm.EXT	1.93744778680638	.12 µmol
ECA590	C15ISO12	ECA590_C15ISO12_3_G_6_.12 µmol	G	6	EtOH	mean.norm.EXT	2.10299412283541	.12 µmol
ECA590	C15ISO12	ECA590_C15ISO12_3_G_7_.12 µmol	G	7	EtOH	mean.norm.EXT	2.0367437301029	.12 µmol
ECA590	C15ISO12	ECA590_C15ISO12_3_G_8_.12 µmol	G	8	EtOH	mean.norm.EXT	2.02131121170439	.12 µmol
ECA590	C15ISO12	ECA590_C15ISO12_3_G_9_.12 µmol	G	9	EtOH	mean.norm.EXT	2.07441459237691	.12 µmol
ECA590	C15ISO12	ECA590_C15ISO12_3_H_1_.12 µmol	H	1	EtOH	mean.norm.EXT	2.00969255614	.12 µmol
ECA590	C15ISO12	ECA590_C15ISO12_3_H_10_.12 µmol	H	10	EtOH	mean.norm.EXT	1.94055428045478	.12 µmol
ECA590	C15ISO12	ECA590_C15ISO12_3_H_11_.12 µmol	H	11	EtOH	mean.norm.EXT	2.00656848433711	.12 µmol
ECA590	C15ISO12	ECA590_C15ISO12_3_H_2_.12 µmol	H	2	EtOH	mean.norm.EXT	2.14637643588647	.12 µmol
ECA590	C15ISO12	ECA590_C15ISO12_3_H_3_.12 µmol	H	3	EtOH	mean.norm.EXT	2.17010045952247	.12 µmol
ECA590	C15ISO12	ECA590_C15ISO12_3_H_4_.12 µmol	H	4	EtOH	mean.norm.EXT	2.02220864513022	.12 µmol
ECA590	C15ISO12	ECA590_C15ISO12_3_H_5_.12 µmol	H	5	EtOH	mean.norm.EXT	2.1350626601175	.12 µmol
ECA590	C15ISO12	ECA590_C15ISO12_3_H_6_.12 µmol	H	6	EtOH	mean.norm.EXT	2.02434383722651	.12 µmol
ECA590	C15ISO12	ECA590_C15ISO12_3_H_7_.12 µmol	H	7	EtOH	mean.norm.EXT	2.01367753195132	.12 µmol
ECA590	C15ISO12	ECA590_C15ISO12_3_H_8_.12 µmol	H	8	EtOH	mean.norm.EXT	2.06844643229662	.12 µmol
ECA590	C15ISO12	ECA590_C15ISO12_3_H_9_.12 µmol	H	9	EtOH	mean.norm.EXT	1.94984897799658	.12 µmol
N2	C15ISO24	N2_C15ISO24_4_A_1_.24 µmol	A	1	EtOH	mean.norm.EXT	1.98780023139419	.24 µmol
N2	C15ISO24	N2_C15ISO24_4_A_10_.24 µmol	A	10	EtOH	mean.norm.EXT	2.04881278515647	.24 µmol
N2	C15ISO24	N2_C15ISO24_4_A_11_.24 µmol	A	11	EtOH	mean.norm.EXT	2.01762749137564	.24 µmol
N2	C15ISO24	N2_C15ISO24_4_A_2_.24 µmol	A	2	EtOH	mean.norm.EXT	1.97743956046799	.24 µmol
N2	C15ISO24	N2_C15ISO24_4_A_3_.24 µmol	A	3	EtOH	mean.norm.EXT	2.16842269248971	.24 µmol
N2	C15ISO24	N2_C15ISO24_4_A_4_.24 µmol	A	4	EtOH	mean.norm.EXT	2.09641140662375	.24 µmol
N2	C15ISO24	N2_C15ISO24_4_A_5_.24 µmol	A	5	EtOH	mean.norm.EXT	2.04602427836376	.24 µmol
N2	C15ISO24	N2_C15ISO24_4_A_6_.24 µmol	A	6	EtOH	mean.norm.EXT	1.9665877617897	.24 µmol
N2	C15ISO24	N2_C15ISO24_4_A_7_.24 µmol	A	7	EtOH	mean.norm.EXT	2.20016834630995	.24 µmol
N2	C15ISO24	N2_C15ISO24_4_A_8_.24 µmol	A	8	EtOH	mean.norm.EXT	2.11713713195258	.24 µmol
N2	C15ISO24	N2_C15ISO24_4_A_9_.24 µmol	A	9	EtOH	mean.norm.EXT	2.07402733372498	.24 µmol
N2	C15ISO24	N2_C15ISO24_4_B_1_.24 µmol	B	1	EtOH	mean.norm.EXT	2.09991075664747	.24 µmol
N2	C15ISO24	N2_C15ISO24_4_B_10_.24 µmol	B	10	EtOH	mean.norm.EXT	2.03950013065524	.24 µmol
N2	C15ISO24	N2_C15ISO24_4_B_11_.24 µmol	B	11	EtOH	mean.norm.EXT	2.07125348354621	.24 µmol
N2	C15ISO24	N2_C15ISO24_4_B_2_.24 µmol	B	2	EtOH	mean.norm.EXT	2.02088858849897	.24 µmol
N2	C15ISO24	N2_C15ISO24_4_B_3_.24 µmol	B	3	EtOH	mean.norm.EXT	2.22749865480788	.24 µmol
N2	C15ISO24	N2_C15ISO24_4_B_4_.24 µmol	B	4	EtOH	mean.norm.EXT	1.98101925260167	.24 µmol
N2	C15ISO24	N2_C15ISO24_4_B_5_.24 µmol	B	5	EtOH	mean.norm.EXT	2.08600231314928	.24 µmol
N2	C15ISO24	N2_C15ISO24_4_B_6_.24 µmol	B	6	EtOH	mean.norm.EXT	2.13612419472063	.24 µmol
N2	C15ISO24	N2_C15ISO24_4_B_7_.24 µmol	B	7	EtOH	mean.norm.EXT	2.1259305445635	.24 µmol
N2	C15ISO24	N2_C15ISO24_4_B_8_.24 µmol	B	8	EtOH	mean.norm.EXT	2.09051870642604	.24 µmol
N2	C15ISO24	N2_C15ISO24_4_B_9_.24 µmol	B	9	EtOH	mean.norm.EXT	2.12689788256947	.24 µmol
CB4856	C15ISO24	CB4856_C15ISO24_4_C_1_.24 µmol	C	1	EtOH	mean.norm.EXT	1.99928884152342	.24 µmol
CB4856	C15ISO24	CB4856_C15ISO24_4_C_10_.24 µmol	C	10	EtOH	mean.norm.EXT	2.07437757926357	.24 µmol
CB4856	C15ISO24	CB4856_C15ISO24_4_C_11_.24 µmol	C	11	EtOH	mean.norm.EXT	2.20578811028809	.24 µmol
CB4856	C15ISO24	CB4856_C15ISO24_4_C_2_.24 µmol	C	2	EtOH	mean.norm.EXT	2.21853408514064	.24 µmol
CB4856	C15ISO24	CB4856_C15ISO24_4_C_3_.24 µmol	C	3	EtOH	mean.norm.EXT	2.24518371086479	.24 µmol
CB4856	C15ISO24	CB4856_C15ISO24_4_C_4_.24 µmol	C	4	EtOH	mean.norm.EXT	2.09865239549915	.24 µmol
CB4856	C15ISO24	CB4856_C15ISO24_4_C_5_.24 µmol	C	5	EtOH	mean.norm.EXT	2.03513260218738	.24 µmol
CB4856	C15ISO24	CB4856_C15ISO24_4_C_6_.24 µmol	C	6	EtOH	mean.norm.EXT	2.03256710328448	.24 µmol
CB4856	C15ISO24	CB4856_C15ISO24_4_C_7_.24 µmol	C	7	EtOH	mean.norm.EXT	2.0468318669234	.24 µmol
CB4856	C15ISO24	CB4856_C15ISO24_4_C_8_.24 µmol	C	8	EtOH	mean.norm.EXT	2.07313165545013	.24 µmol
CB4856	C15ISO24	CB4856_C15ISO24_4_C_9_.24 µmol	C	9	EtOH	mean.norm.EXT	1.95363620602583	.24 µmol
CB4856	C15ISO24	CB4856_C15ISO24_4_D_1_.24 µmol	D	1	EtOH	mean.norm.EXT	1.96712061513161	.24 µmol
CB4856	C15ISO24	CB4856_C15ISO24_4_D_10_.24 µmol	D	10	EtOH	mean.norm.EXT	2.01045292151713	.24 µmol
CB4856	C15ISO24	CB4856_C15ISO24_4_D_11_.24 µmol	D	11	EtOH	mean.norm.EXT	2.00913735425027	.24 µmol
CB4856	C15ISO24	CB4856_C15ISO24_4_D_2_.24 µmol	D	2	EtOH	mean.norm.EXT	2.06715971832634	.24 µmol
CB4856	C15ISO24	CB4856_C15ISO24_4_D_3_.24 µmol	D	3	EtOH	mean.norm.EXT	2.04727728852432	.24 µmol
CB4856	C15ISO24	CB4856_C15ISO24_4_D_4_.24 µmol	D	4	EtOH	mean.norm.EXT	2.09596261307957	.24 µmol
CB4856	C15ISO24	CB4856_C15ISO24_4_D_5_.24 µmol	D	5	EtOH	mean.norm.EXT	2.03330603447113	.24 µmol
CB4856	C15ISO24	CB4856_C15ISO24_4_D_6_.24 µmol	D	6	EtOH	mean.norm.EXT	2.21679112509899	.24 µmol
CB4856	C15ISO24	CB4856_C15ISO24_4_D_7_.24 µmol	D	7	EtOH	mean.norm.EXT	2.15138366522493	.24 µmol
CB4856	C15ISO24	CB4856_C15ISO24_4_D_8_.24 µmol	D	8	EtOH	mean.norm.EXT	2.17050959607539	.24 µmol
CB4856	C15ISO24	CB4856_C15ISO24_4_D_9_.24 µmol	D	9	EtOH	mean.norm.EXT	2.04424797257556	.24 µmol
ECA581	C15ISO24	ECA581_C15ISO24_4_E_1_.24 µmol	E	1	EtOH	mean.norm.EXT	1.99254968867334	.24 µmol
ECA581	C15ISO24	ECA581_C15ISO24_4_E_10_.24 µmol	E	10	EtOH	mean.norm.EXT	1.99870838301081	.24 µmol
ECA581	C15ISO24	ECA581_C15ISO24_4_E_11_.24 µmol	E	11	EtOH	mean.norm.EXT	2.03537157366822	.24 µmol
ECA581	C15ISO24	ECA581_C15ISO24_4_E_2_.24 µmol	E	2	EtOH	mean.norm.EXT	2.01791038007212	.24 µmol
ECA581	C15ISO24	ECA581_C15ISO24_4_E_3_.24 µmol	E	3	EtOH	mean.norm.EXT	2.13524878866865	.24 µmol
ECA581	C15ISO24	ECA581_C15ISO24_4_E_4_.24 µmol	E	4	EtOH	mean.norm.EXT	1.96172039474868	.24 µmol
ECA581	C15ISO24	ECA581_C15ISO24_4_E_5_.24 µmol	E	5	EtOH	mean.norm.EXT	2.01680318347336	.24 µmol
ECA581	C15ISO24	ECA581_C15ISO24_4_E_6_.24 µmol	E	6	EtOH	mean.norm.EXT	1.90863576216814	.24 µmol
ECA581	C15ISO24	ECA581_C15ISO24_4_E_7_.24 µmol	E	7	EtOH	mean.norm.EXT	1.88301994904328	.24 µmol
ECA581	C15ISO24	ECA581_C15ISO24_4_E_8_.24 µmol	E	8	EtOH	mean.norm.EXT	1.87428160381956	.24 µmol
ECA581	C15ISO24	ECA581_C15ISO24_4_E_9_.24 µmol	E	9	EtOH	mean.norm.EXT	1.97743794343645	.24 µmol
ECA581	C15ISO24	ECA581_C15ISO24_4_F_1_.24 µmol	F	1	EtOH	mean.norm.EXT	1.96903608287124	.24 µmol
ECA581	C15ISO24	ECA581_C15ISO24_4_F_10_.24 µmol	F	10	EtOH	mean.norm.EXT	1.9373370829697	.24 µmol
ECA581	C15ISO24	ECA581_C15ISO24_4_F_11_.24 µmol	F	11	EtOH	mean.norm.EXT	2.09429017677091	.24 µmol
ECA581	C15ISO24	ECA581_C15ISO24_4_F_2_.24 µmol	F	2	EtOH	mean.norm.EXT	1.98474034328113	.24 µmol
ECA581	C15ISO24	ECA581_C15ISO24_4_F_3_.24 µmol	F	3	EtOH	mean.norm.EXT	2.01178195230932	.24 µmol
ECA581	C15ISO24	ECA581_C15ISO24_4_F_4_.24 µmol	F	4	EtOH	mean.norm.EXT	2.04962446658189	.24 µmol
ECA581	C15ISO24	ECA581_C15ISO24_4_F_5_.24 µmol	F	5	EtOH	mean.norm.EXT	1.95036774262002	.24 µmol
ECA581	C15ISO24	ECA581_C15ISO24_4_F_6_.24 µmol	F	6	EtOH	mean.norm.EXT	1.96972423391458	.24 µmol
ECA581	C15ISO24	ECA581_C15ISO24_4_F_7_.24 µmol	F	7	EtOH	mean.norm.EXT	1.89916040029991	.24 µmol
ECA581	C15ISO24	ECA581_C15ISO24_4_F_8_.24 µmol	F	8	EtOH	mean.norm.EXT	1.88699155646801	.24 µmol
ECA581	C15ISO24	ECA581_C15ISO24_4_F_9_.24 µmol	F	9	EtOH	mean.norm.EXT	2.0364354893374	.24 µmol
ECA590	C15ISO24	ECA590_C15ISO24_4_G_1_.24 µmol	G	1	EtOH	mean.norm.EXT	1.95752509625092	.24 µmol
ECA590	C15ISO24	ECA590_C15ISO24_4_G_10_.24 µmol	G	10	EtOH	mean.norm.EXT	1.97660625347084	.24 µmol
ECA590	C15ISO24	ECA590_C15ISO24_4_G_11_.24 µmol	G	11	EtOH	mean.norm.EXT	1.97650838648648	.24 µmol
ECA590	C15ISO24	ECA590_C15ISO24_4_G_2_.24 µmol	G	2	EtOH	mean.norm.EXT	2.10868430541068	.24 µmol
ECA590	C15ISO24	ECA590_C15ISO24_4_G_3_.24 µmol	G	3	EtOH	mean.norm.EXT	2.02970371181037	.24 µmol
ECA590	C15ISO24	ECA590_C15ISO24_4_G_4_.24 µmol	G	4	EtOH	mean.norm.EXT	2.03480750951892	.24 µmol
ECA590	C15ISO24	ECA590_C15ISO24_4_G_5_.24 µmol	G	5	EtOH	mean.norm.EXT	1.96914153690078	.24 µmol
ECA590	C15ISO24	ECA590_C15ISO24_4_G_6_.24 µmol	G	6	EtOH	mean.norm.EXT	1.94969181350022	.24 µmol
ECA590	C15ISO24	ECA590_C15ISO24_4_G_7_.24 µmol	G	7	EtOH	mean.norm.EXT	1.94121610237653	.24 µmol
ECA590	C15ISO24	ECA590_C15ISO24_4_G_8_.24 µmol	G	8	EtOH	mean.norm.EXT	1.89228079600673	.24 µmol
ECA590	C15ISO24	ECA590_C15ISO24_4_G_9_.24 µmol	G	9	EtOH	mean.norm.EXT	2.08506107432751	.24 µmol
ECA590	C15ISO24	ECA590_C15ISO24_4_H_1_.24 µmol	H	1	EtOH	mean.norm.EXT	2.0632813569383	.24 µmol
ECA590	C15ISO24	ECA590_C15ISO24_4_H_10_.24 µmol	H	10	EtOH	mean.norm.EXT	2.0417074996268	.24 µmol
ECA590	C15ISO24	ECA590_C15ISO24_4_H_11_.24 µmol	H	11	EtOH	mean.norm.EXT	1.95639329991976	.24 µmol
ECA590	C15ISO24	ECA590_C15ISO24_4_H_2_.24 µmol	H	2	EtOH	mean.norm.EXT	1.97826923369958	.24 µmol
ECA590	C15ISO24	ECA590_C15ISO24_4_H_3_.24 µmol	H	3	EtOH	mean.norm.EXT	1.9140526392063	.24 µmol
ECA590	C15ISO24	ECA590_C15ISO24_4_H_4_.24 µmol	H	4	EtOH	mean.norm.EXT	1.97957297442202	.24 µmol
ECA590	C15ISO24	ECA590_C15ISO24_4_H_5_.24 µmol	H	5	EtOH	mean.norm.EXT	1.99119251913467	.24 µmol
ECA590	C15ISO24	ECA590_C15ISO24_4_H_6_.24 µmol	H	6	EtOH	mean.norm.EXT	1.92766969706798	.24 µmol
ECA590	C15ISO24	ECA590_C15ISO24_4_H_7_.24 µmol	H	7	EtOH	mean.norm.EXT	1.93795717811218	.24 µmol
ECA590	C15ISO24	ECA590_C15ISO24_4_H_8_.24 µmol	H	8	EtOH	mean.norm.EXT	2.09942291971433	.24 µmol
ECA590	C15ISO24	ECA590_C15ISO24_4_H_9_.24 µmol	H	9	EtOH	mean.norm.EXT	2.01209786503455	.24 µmol
N2	C15ISO48	N2_C15ISO48_5_A_1_.48 µmol	A	1	EtOH	mean.norm.EXT	2.00104629495182	.48 µmol
N2	C15ISO48	N2_C15ISO48_5_A_10_.48 µmol	A	10	EtOH	mean.norm.EXT	2.03351458992385	.48 µmol
N2	C15ISO48	N2_C15ISO48_5_A_11_.48 µmol	A	11	EtOH	mean.norm.EXT	2.12975988821648	.48 µmol
N2	C15ISO48	N2_C15ISO48_5_A_2_.48 µmol	A	2	EtOH	mean.norm.EXT	1.91551301679621	.48 µmol
N2	C15ISO48	N2_C15ISO48_5_A_3_.48 µmol	A	3	EtOH	mean.norm.EXT	1.92324767960518	.48 µmol
N2	C15ISO48	N2_C15ISO48_5_A_4_.48 µmol	A	4	EtOH	mean.norm.EXT	1.98376560958527	.48 µmol
N2	C15ISO48	N2_C15ISO48_5_A_5_.48 µmol	A	5	EtOH	mean.norm.EXT	2.09657174973104	.48 µmol
N2	C15ISO48	N2_C15ISO48_5_A_6_.48 µmol	A	6	EtOH	mean.norm.EXT	2.03036161438735	.48 µmol
N2	C15ISO48	N2_C15ISO48_5_A_7_.48 µmol	A	7	EtOH	mean.norm.EXT	2.0706406745413	.48 µmol
N2	C15ISO48	N2_C15ISO48_5_A_8_.48 µmol	A	8	EtOH	mean.norm.EXT	1.98739110508628	.48 µmol
N2	C15ISO48	N2_C15ISO48_5_A_9_.48 µmol	A	9	EtOH	mean.norm.EXT	2.02906715131704	.48 µmol
N2	C15ISO48	N2_C15ISO48_5_B_1_.48 µmol	B	1	EtOH	mean.norm.EXT	1.93917565931535	.48 µmol
N2	C15ISO48	N2_C15ISO48_5_B_10_.48 µmol	B	10	EtOH	mean.norm.EXT	2.01683741676227	.48 µmol
N2	C15ISO48	N2_C15ISO48_5_B_11_.48 µmol	B	11	EtOH	mean.norm.EXT	1.99522882967167	.48 µmol
N2	C15ISO48	N2_C15ISO48_5_B_2_.48 µmol	B	2	EtOH	mean.norm.EXT	2.06483806298829	.48 µmol
N2	C15ISO48	N2_C15ISO48_5_B_3_.48 µmol	B	3	EtOH	mean.norm.EXT	2.02598380937914	.48 µmol
N2	C15ISO48	N2_C15ISO48_5_B_4_.48 µmol	B	4	EtOH	mean.norm.EXT	2.06534776103321	.48 µmol
N2	C15ISO48	N2_C15ISO48_5_B_5_.48 µmol	B	5	EtOH	mean.norm.EXT	2.02123112450219	.48 µmol
N2	C15ISO48	N2_C15ISO48_5_B_6_.48 µmol	B	6	EtOH	mean.norm.EXT	2.04035528561657	.48 µmol
N2	C15ISO48	N2_C15ISO48_5_B_7_.48 µmol	B	7	EtOH	mean.norm.EXT	1.99390775362928	.48 µmol
N2	C15ISO48	N2_C15ISO48_5_B_8_.48 µmol	B	8	EtOH	mean.norm.EXT	2.10247826725888	.48 µmol
N2	C15ISO48	N2_C15ISO48_5_B_9_.48 µmol	B	9	EtOH	mean.norm.EXT	1.98499341906402	.48 µmol
CB4856	C15ISO48	CB4856_C15ISO48_5_C_1_.48 µmol	C	1	EtOH	mean.norm.EXT	2.03331290973641	.48 µmol
CB4856	C15ISO48	CB4856_C15ISO48_5_C_10_.48 µmol	C	10	EtOH	mean.norm.EXT	2.00658532787343	.48 µmol
